"","player1","player2","win1","win2"
"346","Alize Cornet","Monica Puig",1,0
"347","Alize Cornet","Na Li",0,1
"348","Alize Cornet","Naomi Osaka",0,1
"349","Alize Cornet","Olga Govortsova",1,0
"350","Alize Cornet","Ons Jabeur",0,2
"351","Alize Cornet","Paula Badosa",0,1
"352","Alize Cornet","Pauline Parmentier",1,0
"353","Alize Cornet","Petra Kvitova",0,1
"354","Alize Cornet","Rebecca Marino",1,0
"355","Alize Cornet","Roberta Vinci",0,1
"356","Alize Cornet","Samantha Stosur",0,2
"357","Alize Cornet","Sara Errani",0,2
"358","Alize Cornet","Serena Williams",0,1
"359","Alize Cornet","Silvia Soler Espinosa",1,0
"360","Alize Cornet","Simona Halep",0,1
"361","Alize Cornet","Sofia Arvidsson",1,0
"362","Alize Cornet","Sorana Cirstea",1,0
"363","Alize Cornet","Stefanie Voegele",1,0
"364","Alize Cornet","Su Wei Hsieh",1,0
"365","Alize Cornet","Svetlana Kuznetsova",1,0
"366","Alize Cornet","Valentini Grammatikopoulou",1,0
"367","Alize Cornet","Valeria Savinykh",1,0
"368","Alize Cornet","Vania King",1,0
"369","Alize Cornet","Varvara Gracheva",1,0
"370","Alize Cornet","Venus Williams",0,1
"371","Alize Cornet","Victoria Azarenka",0,3
"372","Alize Cornet","Xin Yu Wang",1,0
"373","Alize Cornet","Yanina Wickmayer",1,0
"374","Alize Cornet","Yaroslava Shvedova",0,1
"375","Alize Cornet","Yvonne Meusburger",0,1
"376","Alla Kudryavtseva","Angelique Kerber",0,1
"377","Allie Kiick","Madison Keys",0,1
"378","Alycia Parks","Arantxa Rus",0,1
"379","Alycia Parks","Fiona Ferro",0,1
"380","Alycia Parks","Ons Jabeur",0,1
"381","Amanda Anisimova","Ana Konjuh",1,0
"382","Amanda Anisimova","Andrea Petkovic",1,0
"383","Amanda Anisimova","Angelique Kerber",0,1
"384","Amanda Anisimova","Anna Karolina Schmiedlova",1,0
"385","Amanda Anisimova","Barbora Krejcikova",0,1
"386","Amanda Anisimova","Bianca Andreescu",0,1
"387","Amanda Anisimova","Camila Giorgi",1,0
"388","Amanda Anisimova","Cori Gauff",0,1
"389","Amanda Anisimova","Danka Kovinic",1,0
"390","Amanda Anisimova","Elina Svitolina",0,2
"391","Amanda Anisimova","Garbine Muguruza",0,1
"392","Amanda Anisimova","Jasmine Paolini",1,0
